KUPKBPK-KB-0023,Daya Ingat Super,  ,Widiatmoko,"Widiatmoko,   ",,,,,658.3,Manajemen SDM,658.3 WID d,Beli,Soft Skill,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0024,Crisis Management and Public Relations, Ludwig,Suparmo,"Suparmo,  Ludwig",Indeks,Jakarta,2011,,659.2,Public Relations,659.2 SUP c,Beli,Soft Skill,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0025,Pengetahuan Dasar Perpustakaan Digital,Hartono,,Hartono,Sagung Seto,Jakarta,2017,9786022711018,658,Manajemen,658 HAR p,Beli,Ekonomi,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0026,Aspek Hukum Pengadaan Barang dan Jasa,Purwosusilo,,Purwosusilo,Kencana,Jakarta,2017,9786021186022,658.7,Pengadaan Barang/Jasa,658.7 PUR a,Beli,Hukum,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0027,Curbing Corruption in Indonesia 2004-2006,Soren,Davidsen,"Davidsen, Soren",USINDO,Yogyakarta,2006,9798026993,364,Korupsi,364 DAV c,Hibah,Hukum,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0028,Rocks Minerals,Ronald Louis,Bonewitz,"Bonewitz, Ronald Louis",A Penguin Company,London,2008,,363,Lingkungan,363 DK r,,Teknik,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0029,Sejarah Korupsi di Indonesia,Subur,Sukrisno,"Sukrisno, Subur",IPB Press,Bogor,2017,9786024400873,364,Korupsi,364 SUK s,Hibah,Hukum,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0030,Badan Pemeriksa Keuangan dalam Penyelenggaraan Negara yang Bersih dan Baik,Baharuddin,Aritonang,"Aritonang, Baharuddin",Pustaka Pergaulan,Jakarta,2017,,336,Keuangan Negara,336 ARI b,,,,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0031,Badan Pemeriksa Keuangan dalam Penyelenggaraan Negara yang Bersih dan Baik,Baharuddin,Aritonang,"Aritonang, Baharuddin",Pustaka Pergaulan,Jakarta,2017,9789791551878,336,Keuangan Negara,336 ARI b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0032,Sistem Pengawasan Keuangan Negara di Indonesia,Bahrullah,Akbar,"Akbar, Bahrullah",Pusaka Negara,Jakarta,2015,,336,Keuangan Negara,336 AKB s,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0033,Sistem Pengawasan Keuangan Negara di Indonesia,,,", ",Pusaka Negara,Jakarta,2015,,336,Keuangan Negara,336 AKB s,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0034,Sistem Pengawasan Keuangan Negara di Indonesia,,, ,Pusaka Negara,Jakarta,2015,,336,Keuangan Negara,336 AKB s,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0035,Pengelolaan Keuangan Pemerintah Desa,BPK RI,,BPK RI,BPK,Jakarta,2015,,336,Keuangan Daerah,336 BPK p,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0036,Pengelolaan Keuangan Pemerintah Desa,BPK RI,,BPK RI,BPK,Jakarta,2015,,336,Keuangan Daerah,336 BPK p,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0037,Pengelolaan Keuangan Pemerintah Desa,BPK RI,,BPK RI,BPK,Jakarta,2015,,336,Keuangan Daerah,336 BPK p,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0038,Pengelolaan Keuangan Pemerintah Desa,BPK RI,,BPK RI,BPK,Jakarta,2015,,336,Keuangan Daerah,336 BPK p,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0039,Kumpulan Peraturan Badan Pemeriksa Keuangan Republik Indonesia,,,,BPK,Jakarta,2016,,336,Keuangan Negara,336 BPK k,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0040,Kumpulan Peraturan Badan Pemeriksa Keuangan Republik Indonesia,,,,BPK,Jakarta,2016,,336,Keuangan Negara,336 BPK k,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0041,Kumpulan Peraturan Badan Pemeriksa Keuangan Republik Indonesia,,,,BPK,Jakarta,2016,,336,Keuangan Negara,336 BPK k,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0042,Kumpulan Peraturan Badan Pemeriksa Keuangan Republik Indonesia,,,,BPK,Jakarta,2016,,336,Keuangan Negara,336 BPK k,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0043,Kumpulan Peraturan Badan Pemeriksa Keuangan Republik Indonesia,,,,BPK,Jakarta,2016,,336,Keuangan Negara,336 BPK k,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0044,Kumpulan Peraturan Badan Pemeriksa Keuangan Republik Indonesia,,,,BPK,Jakarta,2016,,336,Keuangan Negara,336 BPK k,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
